Category,Message
Inspection Services,"Cross is gatun alley --- the neightbor's drain is in the backyard and it is all clogged up and the water and mud and it comes over to my side. there is so much water and mud that it comes into my basement.
 this has happened before.
 i have tried to work with him in the past and does nothing to correct. (311 sr#11790214)"
Inspection Services,Exceeding scope of issued permit. please investigate.
Electrical Inspection Division,"Unsafe wiring at rear of house, room addition."
Money transfers,Incorrect/missing disclosures or info
Debt collection,Communication tactics
Code Enforcement Section,"Vacant storefront
2020 registration due 6/10/20"
Building Inspection Division,Restrooms in disrepair.
Credit card,Customer service / Customer relations
Prepaid card,Unauthorized transactions/trans. issues
Inspection Services,"Work on unit 403 without permit, construction is very noisy because the windows are open for that apartment."
Student loan,Repaying your loan
Department of Bldg Inspection,"Roof leaks, ceiling has water damage.  chimney is rusty and leaks water duing rains and shakes during winds.  landlord has been notified."
Debt collection,Improper contact or sharing of info
Consumer Loan,Account terms and changes
Credit card,Billing disputes
Consumer Loan,Managing the loan or lease
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109172 , serial no 942j0404955"
Disabled Access Division,Toilet room too small to allow wheelchair use.
Disabled Access Division,"Narrow path of travel - some aisles narrow than 27"", merchandise on both sides. blocked path of travel chairs, table and step stools kept in aisles."
Disabled Access Division,Illegal ramp; front door's too high; no kick plate on the door; no lever hardware on the doors; a lot's of construction inside the store has no permit; the emergency exit blocked of stairs and bathroom none compliance.
Mortgage,"Loan modification,collection,foreclosure"
Housing Inspection Services,Routine apartment house inspection
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 62730 , serial no 1200 1028 29"
Student loan,Repaying your loan
Department of Bldg Inspection,"No permitof occupancy, tenants have moved into bldg.  per health dept building should not be occupied.  structure is over old gas station and lots of chemical problems."
Money transfers,Fraud or scam
Student loan,Repaying your loan
Payday loan,Can't contact lender
Inspection Services,"1295 39th ave, but also 3804 and 3808 irving...same address...? --- caller reporting blight. debris from building is falling off of the facade, in several locations...structural things that may be heavy. people are walking on sidewalk underneath. it is a danger to the public. (311 sr#12672476)"
Payday loan,Charged fees or interest I didn't expect
Debt collection,Communication tactics
Code Enforcement Section,"Vacant storefront 
2020 registration 03/01/20"
Credit card,Billing disputes
Debt collection,Cont'd attempts collect debt not owed
Plumbing Inspection Division,Leaking defective trap under sink.  complaint was received by rfarrow on 10/28/96.
Housing Inspection Services,Electrical problems
Student loan,Can't repay my loan
Electrical Inspection Division,Building in-law inside the store without permit.
Other financial service,Unexpected/Other fees
Money transfers,Fraud or scam
Payday loan,Charged fees or interest I didn't expect
Student loan,Dealing with my lender or servicer
Credit reporting,Incorrect information on credit report
Bank account or service,"Account opening, closing, or management"
Housing Inspection Services,Routine
Other financial service,Customer service/Customer relations
Money transfers,Money was not available when promised
Payday loan,Can't contact lender
Payday loan,Charged fees or interest I didn't expect
Prepaid card,Unauthorized transactions/trans. issues
Debt collection,Disclosure verification of debt
Code Enforcement Section,Vacant storefront
Department of Bldg Inspection,"Air comes in thru windows, though caulked after previous complaint. mildew and paint peeling in bathroom; broken window; inadequate heat; front door buzzer doesn't work."
Mortgage,"Loan modification,collection,foreclosure"
Consumer Loan,Managing the loan or lease
Debt collection,Cont'd attempts collect debt not owed
Other financial service,Customer service/Customer relations
Department of Bldg Inspection,2 illegal windows on property line; chimney on property line; deck with hot tub appears to be illegal(too high).  illegal unit in garage.
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 106161 , serial no 1707448396"
Department of Bldg Inspection,"Referral from st. peter's housing.  (spanish-speaking tenant)  bedroom: air filtration through window frames; kitchen: floor coming up; bathroom: ceiling covered in mildew, no glass in window; other: no glass in window of back storage room; back door needs a lock, air filtration through hole in bottom of front door; insufficient hot water; rats, mice and roach infestation; insufficient light in stairwells."
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110886 , serial no 7184920"
Debt collection,Cont'd attempts collect debt not owed
Other financial service,Fraud or scam
Disabled Access Division,Shopper aisles too narrow for their wheelchairs to negotiate.
Credit reporting,Incorrect information on credit report
Mortgage,"Loan modification,collection,foreclosure"
Inspection Services,"The contractor at this site has no garbage dumpster and is throwing their construction materials and garbage on the side and blocking pedestrian walkway
 1439 leavenworth --- the contractor at this site has no garbage dumpster and is throwing their construction materials and garbage on the side and blocking pedestrian walkway (311 sr#11784794)"
Money transfers,Fraud or scam
Prepaid card,Unauthorized transactions/trans. issues
Department of Bldg Inspection,Illegal apartment.
Disabled Access Division,Illegal - high door threshold.
Prepaid card,"Managing, opening, or closing account"
Money transfers,Other transaction issues
Housing Inspection Services,Making an illegal apartment in the garage.
Credit reporting,Incorrect information on credit report
Disabled Access Division,Not accessible to disabled due to entry step.  very recently remodeled.  open for business.
Credit card,Billing disputes
Debt collection,Cont'd attempts collect debt not owed
Bank account or service,"Account opening, closing, or management"
Bank account or service,"Account opening, closing, or management"
Consumer Loan,Managing the loan or lease
Payday loan,Charged fees or interest I didn't expect
Disabled Access Division,Front entrance not accessible (step). see email dated 12-15-99 3:00 p.m. by j. caedo.
Bank account or service,"Account opening, closing, or management"
Payday loan,Can't contact lender
Electrical Inspection Division,Electrical work being done without permit.
Building Inspection Division,"Date last observed: 01-jul-20;    floor: ground flo;    exact location: common area;    building type: residence/dwelling   work w/o permit; illegal change of use; other building; ;    additional information: residential unit being used for an illegal business operated out of the backyard/courtyard.,.;"
Bank account or service,Using a debit or ATM card
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109979 , serial no 211-14336-0899"
Student loan,Can't repay my loan
Student loan,Repaying your loan
Electrical Inspection Division,Hazardous condition at electric panelboards documented on expired permits 187559 and193649. case sent to ced on 7/6/2001
Department of Bldg Inspection,Illegal unit.
Disabled Access Division,Elevator inoperable
Money transfers,Fraud or scam
Building Inspection Division,"An emergency response has revealed fire damage to a number of units (believed to be 2, verify exact number when able to access the building). no structural damage observed (fire originated next door at 1927 washington st) damaged units 302, 303, 402, 403, 503. no damage to the west side of the building."
Code Enforcement Section,Vacant building
Building Inspection Division,"Date last observed: 10-feb-20;    time last observed: feb 10, 2020;    floor: first;    unit: unknown;    exact location: main bldg;    building type: residence/dwelling   disabled acc: parking;  ;    additional information: there are no parking signs on a garage on lapidge street that has been converted to living units. this may also be true on 18th street, but it's not clear. the building wants to have their cake and eat it too -- convert a garage to a living unit and also preserve parking for itself on lapidge street. this should be inspected and disallowed. ;"
Department of Bldg Inspection,"Building, plumbing, & electrical work without a permit.  bldg inspector c. pearl issued nov on 5/30/97."
Debt collection,Cont'd attempts collect debt not owed
Disabled Access Division,None accessible sanitary facilities.  restaurant claimed to have accessible bathroom but did not.
Code Enforcement Section,"Vacant storefront
2020 registration due 03/07/20"
Code Enforcement Section,"Vacant storefront
2020 registration due 2/12/20"
Electrical Inspection Division,Received anonymous complaint - electrical work without permit.
Mortgage,"Loan modification,collection,foreclosure"
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105788 , serial no c13-249234"
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,Vacant storefront
Inspection Services,"Doing work well after midnight, with loud trucks, generators, and equipment (311 sr#12103360)"
Disabled Access Division,Painted out disabled markings on 1 of 3 disabled spaces.
Electrical Inspection Division,Tenant working electrical sign without permit.
Building Inspection Division,"Date last observed: 29-jan-20;    time last observed: evening;    identity of person performing the work: larry hall;    floor: 2nd;    unit: 663a;    exact location: main bldg;    building type: residence/dwelling   water intrusion; no heat; hazardous outlet wiring; exposed wiring; ;    additional information: on the evening of january 8th i returned home after being on vacation for 3 weeks. in the evening of thursday january 9th the heat failed to come on. i reported it to the landlord and she said she would get someone out to look at it which ended up being on the weekend. i was told he could replace the heater on the following wednesday. in the meantime i ended up buying space heaters which the electrical in the building would not tolerate and upon plugging in would set off the circuit breakers. i reported the issue to the property manager and she told me to unplug other devices.  i ended up running the stove just to have heat in the apartment. the heater has since been replaced,"
Electrical Inspection Division,Major electrical work is going on without permit.
Student loan,Repaying your loan
Housing Inspection Services,Illegal use.
Credit card,Rewards
Building Inspection Division,"Date last observed: 28-dec-19;    time last observed: 8pm;    exact location: main bldg;    building type: residence/dwelling   no heat; ;    additional information: no heat during hours mgmt quoted, despite repeated requests to mgmt ;"
Building Inspection Division,Changed out furnance in unit 11 without permits.
Code Enforcement Section,Vacant buidling
Code Enforcement Section,Vacant stotrefront
Housing Inspection Services,Structural damage  lites keep flickering  on and off.  rug on flr sliding on one side house leans..
Inspection Services,Owner built illegal attachment using our wall about 30 yrs ago. the new owner bought the house and took the attachment down but our wall is rotten due to water leak between the attachment and wall.
Mortgage,"Loan servicing, payments, escrow account"
Other financial service,Customer service/Customer relations
Consumer Loan,Taking out the loan or lease
Consumer Loan,Problems when you are unable to pay
Student loan,Dealing with my lender or servicer
Department of Bldg Inspection,Possible illegal unit in bldg-large amounts of people coming and going (more than would be plausible for a 5 apt. bldg.); the people have been seen putting their garbage in other peoples' garbage cans. (referred to dph for garbage).
Code Enforcement Section,"Vacant building
2020 registration due 6/6/20"
Disabled Access Division,Illegal high door threshold.
Electrical Inspection Division,Electrical work being done not up to code.
Consumer Loan,Managing the line of credit
Consumer Loan,Problems when you are unable to pay
Money transfers,Other service issues
Plumbing Inspection Division,Rwl not connected to building drain.  complaint receivedon 10/16/96
Money transfers,Fraud or scam
Disabled Access Division,Elevator not working for over a week.
Inspection Services,Entrance gate with plastic roof attached to neighbor's house at 239 peninsula ave. --- resident has built an entrance gate with a plastic roof which is illegally attached to neighbor's house at 239 peninsula ave. (311 sr#12679994)
Department of Bldg Inspection,Garage door not working properly.  dry rot from rain over patio door. dish washer not working.
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109791 , serial no g-00-0390"
Consumer Loan,Managing the loan or lease
Electrical Inspection Division,Electrical work w/o permit observed in store front commercial space
Other financial service,Excessive fees
Credit card,Billing disputes
Prepaid card,"Managing, opening, or closing account"
Code Enforcement Section,Vacant storefront
Consumer Loan,Problems when you are unable to pay
Building Inspection Division,Expired permit
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105685 , serial no 021261263"
Credit card,Billing disputes
Other financial service,Customer service/Customer relations
Bank account or service,Problems caused by my funds being low
Student loan,Repaying your loan
Prepaid card,"Managing, opening, or closing account"
Code Enforcement Section,Vacant storefront
Other financial service,Unexpected/Other fees
Inspection Services,"3950 24th st --- caller would like to state that there is a construction crew being very loud, using power tools, at a volume above what is permitted, at about 3:45 am at the whole foods inside 3950 24th st. (311 sr#11879791)"
Plumbing Inspection Division,Possible work without permit.  debris coming from duct work and grills.
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105611 , serial no c04 e02857"
Building Inspection Division,"Date last observed: 28-jul-20;    time last observed: 7:30 pm;    identity of person performing the work: ak brady construction;    exact location: main bldg;    building type: residence/dwelling   work beyond scope of permit; ;    additional information: north wall was to be offset approx 3 feet, but appears to be completely against common fence with no offset. offset was to be opposite the niche between 569 and 575;"
Code Enforcement Section,"Vacant storefront
2020 registration due 8/14/20"
Payday loan,Can't contact lender
Bank account or service,Deposits and withdrawals
Student loan,Can't repay my loan
Prepaid card,Unauthorized transactions/trans. issues
Payday loan,Applied for loan/did not receive money
Code Enforcement Section,"Vacant building
2020 registration due 8/8/20"
Department of Bldg Inspection,Sewer is constantly backing up.  two buildings tied and into same sewer.
Prepaid card,Unauthorized transactions/trans. issues
Credit reporting,Incorrect information on credit report
Credit card,APR or interest rate
Payday loan,Charged bank acct wrong day or amt
Electrical Inspection Division,Ms. moore said in the back of unit 1451 there is illegal electrical wiring that was installed.  she is concerned that a fire may result from this.
Code Enforcement Section,"Failure to comply with tier iii, mandatory soft-story seismic retrofit per chapter 34b of the sfbc. permit inspections incomplete."
Department of Bldg Inspection,Possible illegal unit.
Department of Bldg Inspection,"Sewage leak coming in to 117 gates' basement..  went to ask the man nex door, at 113 gates street  and told you have a sewage problem.  plumbing contractor said it is the neighbor's sewer not his."
Department of Bldg Inspection,"Front steps have dry rot; front balcony off livingroom sagging, unsafe; electrical concerns-old wiring, fuses blow when in high use."
Credit card,Other
Prepaid card,Unauthorized transactions/trans. issues
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109133 , serial no c99103990"
Money transfers,Incorrect/missing disclosures or info
Disabled Access Division,No toilet rooms provided for use of patrons or disabled patrons.
Disabled Access Division,Parking lot operator has installed car lifts to piggy back cars. the lifts are blocking access to the disabled stalls.
Plumbing Inspection Division,Installed boiler - strange smell coming out - children gets headache.
Electrical Inspection Division,"Rust on exterior equipment, lights and circuit breakers at 2781 mcallister. possible damage to electrical wiring  from water leak from 2nd floor bathroom into ceiling below.  please inspect 2783 mcallister and rear cottage for hazardous wiring."
Prepaid card,"Overdraft, savings or rewards features"
Plumbing Inspection Division,"In front of the laundry, water does not drain properly."
Building Inspection Division,"201 columbus ave and 600 pacific ave --- built structure too tall cant see around it, hazard for cars and pedestrian crossing. it's also blocking a fire hydrant. (311 sr#12742616)"
Money transfers,Money was not available when promised
Bank account or service,"Account opening, closing, or management"
Payday loan,Can't contact lender
Prepaid card,"Managing, opening, or closing account"
Bank account or service,Deposits and withdrawals
Building Inspection Division,Date last observed: 02-jan-20;    time last observed: 10am;    identity of person performing the work: unknown     how can i submit a;    floor: 4th;    exact location: roof;    building type: residence/dwelling   work w/o permit; illegal change of use; ;    additional information: new door wall replaced window to allow roof access (to be used as a deck)?;
Payday loan,Charged fees or interest I didn't expect
Bank account or service,"Account opening, closing, or management"
Code Enforcement Section,Vacant storefront
Bank account or service,Problems caused by my funds being low
Department of Bldg Inspection,Too much debris outside in the back.  fire hazard.
Consumer Loan,Managing the loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Bank account or service,Deposits and withdrawals
Debt collection,Communication tactics
Inspection Services,"All day long using loud tools that can be heard throughout the neighborhood, through walls and shut windows (311 sr#12733133)"
Department of Bldg Inspection,"New owners in february 1997; low water pressure, not enough for showers; water not hot at night after peak use; shower leaks; ceiling in 3rd fl. shower collapsed a couple of days ago, no response from mgmnt.; 4/3/97-fire dept. cited them for fire alrarm problem which they haven't fixed; haven't been cleaning restrooms and showers every day, even after visit from dph; mgmnt. also does not clean hallways everyday."
Debt collection,Disclosure verification of debt
Plumbing Inspection Division,Installed a water heater without the benefit of a plumbing permit.
Department of Bldg Inspection,(Voice mail number for mr. lamothe - he will call you right back.)  holes in walls - over two years.  wall heater doesn't work.  paint is peeling.  no smoke detector.
Department of Bldg Inspection,No heat
Disabled Access Division,"4"" high step at front door, using portable ramp on sidewalk."
Credit reporting,Incorrect information on credit report
Payday loan,Charged fees or interest I didn't expect
Housing Inspection Services,Routine safety inspection
Inspection Services,Non-compliant wiring of electric vehicle car charger to a tree (311 sr#11942980)
Plumbing Inspection Division,Water is pouring down from 778 athens to her house at 774 athens. complainant states that this is occurring due to new roof repair.
Bank account or service,"Account opening, closing, or management"
Consumer Loan,Shopping for a loan or lease
Department of Bldg Inspection,"No hot water since wednesday; no gas since friday & today,
no water at all."
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,Vacant storefront
Housing Inspection Services,Business in garage-auto repairs.  during the week 5-9pm saturdays  all day.
Prepaid card,"Managing, opening, or closing account"
Disabled Access Division,"Multiple violations in restroom - paper tower dispenser not accessible, etc."
Credit reporting,Improper use of my credit report
Credit reporting,Unable to get credit report/credit score
Money transfers,Fraud or scam
Housing Inspection Services,No water in building for 4 hours
Inspection Services,"Materials, insulation pieces, reaching the complainant properties."
Inspection Services,Concrete is separating from the front door and stairs. concrete is crumbling from the foundation of the building. complainant spoke with foreman and he stated that he can not fix it unless he gets authorization.
Inspection Services,"Immaculate conception academy at 3625 24th st. gym is on fair oaks st. --- mega-loud buzzer at school gym can be heard throughout neighborhood. it is well beyond decibels for a residential area. unresolved problem. old gym does not seem to have insulation. buzzer disrupts neighborhood, starts dogs barking, etc. (311 sr#11750722)"
Consumer Loan,Problems when you are unable to pay
Code Enforcement Section,Vacant building
Money transfers,Fraud or scam
Other financial service,Fraud or scam
Credit reporting,Credit reporting company's investigation
Code Enforcement Section,Vacant storefront
Bank account or service,"Making/receiving payments, sending money"
Bank account or service,Problems caused by my funds being low
Code Enforcement Section,"Vacant storefront
2020 registration due 2/6/20"
Disabled Access Division,"Cashwrap counter too high 37""."
Plumbing Inspection Division,Building a storage shed on property line.
Credit card,Transaction issue
Credit reporting,Credit reporting company's investigation
Student loan,Repaying your loan
Student loan,Repaying your loan
Disabled Access Division,"1 leaf of double doors locked, dining room is raised without ramp."
Plumbing Inspection Division,Sewage problem
Mortgage,"Loan servicing, payments, escrow account"
Mortgage,"Loan servicing, payments, escrow account"
Housing Inspection Services,Elevator is out of order.  no post on elevator.
Disabled Access Division,Counter sales is closed and not usable but ada. built a new prescription counter is not accessible and too high.
Other financial service,Customer service/Customer relations
Payday loan,Charged fees or interest I didn't expect
Bank account or service,Problems caused by my funds being low
Disabled Access Division,"Recent remodeled. front door, ramp, serving counter and toilets not accessible."
Department of Bldg Inspection,Abandoned (?)  church occupied by homeless.  caller is afraid of fire danger to church and other structures.
Bank account or service,Deposits and withdrawals
Prepaid card,"Managing, opening, or closing account"
Inspection Services,Construcction work w/out permit
Electrical Inspection Division,"Air filters system installed - no permit apparent, possible wired to common area electrical service."
Debt collection,Disclosure verification of debt
Plumbing Inspection Division,"Behind 290 crestlake dr., down the hill into the park. homes on crestlake dr. have sewage pipes running down the hill into pine lake park, ongoing problem, with a possible leak. please call complainant shirley selby, phone #661-3807."
Other financial service,Customer service/Customer relations
Credit card,Credit line increase/decrease
Student loan,Repaying your loan
Debt collection,Cont'd attempts collect debt not owed
Payday loan,Charged fees or interest I didn't expect
Credit reporting,Credit reporting company's investigation
Mortgage,"Loan servicing, payments, escrow account"
Bank account or service,Problems caused by my funds being low
Building Inspection Division,"Illegal unit. no fire escape. celings are 6' 7"". concerned about electircal connections. no smoke detector."
Disabled Access Division,Exterior door landing not accessible.
Disabled Access Division,Building is under construction and no wheelchair access due to step at entrance.
Student loan,Problems when you are unable to pay
Student loan,Repaying your loan
Mortgage,"Loan modification,collection,foreclosure"
Housing Inspection Services,Illegal apt. on first floor.
Housing Inspection Services,Alt tel/home/920-9592. bathroom heater not working. ceiling leaks in living room  bed room & hall closet. mold on bed room ceiling
Plumbing Inspection Division,"A citizen complaint has been received regarding seepage/leakage created by a restaurant located at 900 north point st., dba: mccormick & kuleto's seafood restaurant going into the lower level parking garage.  the origin of the leakage is undetermined at this time.  please contact the complainant, mr. jack mona, ghirardeli square parking director, at (415) 929-1665 for further details."
Building Inspection Division,Date last observed: 12-feb-20;    time last observed: 9:00 pm;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: fox plaza is displaying very bright neon lights that are obnoxious. last night it was a combination of red and blue. this is a nuisance and totally unnecessary.;
Prepaid card,Fraud or scam
Mortgage,"Loan servicing, payments, escrow account"
Prepaid card,"Managing, opening, or closing account"
Money transfers,Other transaction issues
Department of Bldg Inspection,Needs new carpet.  tenant has been there for 15 years & landlord has not changed it.
Debt collection,Improper contact or sharing of info
Building Inspection Division,"1711 oak street , behind the parking lot. behind the fence there is a structure that has been thrown up , no permit and there are construction workers there. no neighborhood postings either at any time --- illegal construction (311 sr 12638818)"
Debt collection,Communication tactics
Building Inspection Division,"Date last observed: 10-feb-20;    identity of person performing the work: rain defense;    floor: basement;    exact location: rear bldg;    building type: residence/dwelling   other housing; ;    additional information: water damage/intrusion from leaking pipes and reoccuring flooding provoked ""restoration"" of interior wall assembly and major construction on exterior of building, with no permit. scope of work including but not limited to new plumbing, demo of existing slab, excavation 8'-0"" into ground for waterproofing membrane, replacement of structural rebar, and pouring of concrete on the exterior (feb 4). slab used for amenities such as laundry, trash, and fire egress. slope of slab may be non-compliant for drainage and level walking surface. assumption: no civil, no structural, no-ceqa if applicable.;"
Prepaid card,"Managing, opening, or closing account"
Disabled Access Division,One disabled bathroom used for storage and not available to the disabled.  other disabled bathroom used by other than disabled persons.
Credit card,Rewards
Credit card,Delinquent account
Department of Bldg Inspection,"Roof leaks and is falling in.  skylight, back door, and  bathroom vent leak.  water is inside walls in bdrm."
Student loan,Problems when you are unable to pay
Credit reporting,Incorrect information on credit report
Inspection Services,Please check that all work is being done in accordance with pa 201912129451. the legal use is restaurant please verify that there is no chang in use.
Money transfers,Fraud or scam
Plumbing Inspection Division,Gas line in garage has been done without permit or inspection.  field observation was done on 11/20/96.
Student loan,Problems when you are unable to pay
Mortgage,"Application, originator, mortgage broker"
Inspection Services,Construction beyond scope of permit.  building has been completely demolished.
Housing Inspection Services,Routine
Disabled Access Division,Aisles too narrow for wheelchairs.  pls. see attached letter dated 12-2-99 and photos.
Electrical Inspection Division,Electrical work without permit.
Other financial service,Customer service/Customer relations
Student loan,Problems when you are unable to pay
Bank account or service,Using a debit or ATM card
Payday loan,Charged fees or interest I didn't expect
Disabled Access Division,Sales aisles too narrow. please see attached letter  dated 12-15-99 and video.
Housing Inspection Services,Open water pipe in basement hallway allowing waste to spill onto ground.
Plumbing Inspection Division,No down spouts water in front of the building.  complaints was received by rlandreini.(rear of the building - down spouts).  the existing drain pipe from the rear roof is missing sections causing water to flow from roof to backyard adjacent to complaintant's property (flowing water into his basement).
Bank account or service,"Account opening, closing, or management"
Electrical Inspection Division,Main breaker need to be replaced.  no electricity in most of the apartments.
Consumer Loan,Problems when you are unable to pay
Department of Bldg Inspection,Water leaking down from above apartment improperly and unprofessionally installed new bedroom window/s everytime it rains heavily against the front of bldg. landlord non-compliance with his inspection of 4/30/97 conducted by r. zarlow.  (pls. call him after 4:00pm)
Payday loan,Can't contact lender
Consumer Loan,Taking out the loan or lease
Prepaid card,Unauthorized transactions/trans. issues
Payday loan,Applied for loan/did not receive money
Mortgage,"Application, originator, mortgage broker"
Housing Inspection Services,Wall constructed at back stairs without benefit of permit.  ants in kitchen and dining area of apartment.
Payday loan,Charged fees or interest I didn't expect
Student loan,Getting a loan
Money transfers,Wrong amount charged or received
Housing Inspection Services,6 redidential units in building;  hid records show 4 legal units.  if  the tw3o units at the ground floor rear have been legalized  then the building  as a three store r-1 occupancy  should have a fire alarm system.
Inspection Services,"Precita park cafe at 500 precita --- cafe has a door that opens on precita- when door is held open, there is a door stop used to keep the door open. when the door is closed the 4 inch cylindrical door stop is sticking up from the floor causing people to trip. the caller has notified management but they have not taken care of the issue. caller is concerned that this presents a danger to the patrons of the cafe. (311 sr#11931365)"
Consumer Loan,Problems when you are unable to pay
Housing Inspection Services,Problem in bathroom
Housing Inspection Services,Hole in bathroom wall
Credit card,Delinquent account
Code Enforcement Section,"Vacant storefront
2020 registration due 6/14/20"
Electrical Inspection Division,Electrical problems
Electrical Inspection Division,"Work without permit, installation of kitchen and associated wiring."
Credit card,Credit card protection / Debt protection
Student loan,Dealing with my lender or servicer
Prepaid card,Other
Inspection Services,"Dry cleaners store front of the building --- my neighbor filed a permit--the permit is not valid yet--
 201912058745
 yesterday on 12/5.
 he has started work on the building already--including having the electrician out there doing something. the electrician--i saw him and his company shirt -- has been there several days now. 
 i'm not sure what he is allowed to do pre-permit but they have been over there working--again--as usual in secret.
 thank you (311 sr#11779227)"
Electrical Inspection Division,Extensive electrical work without electrical permit.  also structural wall removal and extensive construction in upstairs unit without permit.  no smoke detectors or fans over the stove on property.
Credit reporting,Incorrect information on credit report
Prepaid card,"Advertising, marketing or disclosures"
Disabled Access Division,Elevator does not work.
Money transfers,Money was not available when promised
Credit card,Identity theft / Fraud / Embezzlement
Consumer Loan,Taking out the loan or lease
Housing Inspection Services,Walls are craking  the doors are not safe.  plumbing is out of order.
Student loan,Repaying your loan
Consumer Loan,Taking out the loan or lease
Money transfers,Money was not available when promised
Money transfers,Other service issues
Credit card,Closing/Cancelling account
Inspection Services,Work without permit. currently putting in new windows that are visible from the street.
Prepaid card,Unauthorized transactions/trans. issues
Inspection Services,Illegal unit in the garage without fire sprinklers. no ventilation.
Inspection Services,"Front edifice 3568a 18th street (valencia &amp; guerrero) --- please examine disconnected electrical conduit pipe on front of building. electrical wires leading up to second floor do not meet electrical code standards. gauges are of insufficient thickness, and electrical conduit pipe is disconnected and covered in stucco. as a result, a significant amount of e m i electromagnetic interference, is occurring from the xfinity service provider, which is the catv provider of 75% of the closest neighbors. (311 sr#12604975)"
Consumer Loan,Managing the loan or lease
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105447 , serial no 706666-201407"
Mortgage,Credit decision / Underwriting
Credit reporting,Incorrect information on credit report
Payday loan,Charged fees or interest I didn't expect
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108074 , serial no 1711453816"
Other financial service,Excessive fees
Plumbing Inspection Division,Liquid seepage into basement garage beneath the new boston market.  origin unknown
Credit reporting,Credit monitoring or identity protection
Mortgage,"Loan modification,collection,foreclosure"
Disabled Access Division,"1) front door not accessible, too heavy. 2) elevator restible from garage not accessible. 3) garage doors not accessible. 4) door from bldg. 2 to pool not accessible, too heavy. 5) pool gate not accessible."
Department of Bldg Inspection,Toilets are in disrepair only 2 bathrooms available; shower is broken and they have locked the doors;
Building Inspection Division,"Date last observed: 03-aug-20;    time last observed: 4:30;    identity of person performing the work: angelina arechiga;    floor: 1;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: beer bottles and garbage and construction debris scattered in front of building.  dirt from excavation in front of garage spills over to neighboring property at 349-351-353 vallejo street.  asked numerous times to clear up mess and enclose excavated portion of garage.  construction workers park on sidewalk in front of neighboring property at 349-351-353 vallejo street, which i own. ;"
Building Inspection Division,There are 5 five guys with chain working in the backyard and also there is a retaining wall that is falling and ground is shifting.  no permits issued to date.
Housing Inspection Services,Routineinspeciton
Department of Bldg Inspection,Inadequate heat- sometimes is off for three days at a time (last friday through monday);
Disabled Access Division,"No access at main entry; access is off alley get past chain, call for freight elevator. nearest (and only) accessible toilets are looked off to everyone except one tenant."
Electrical Inspection Division,Refer complant  200113706 to ced
Code Enforcement Section,"Vacant storefront
311-#11809675"
Prepaid card,Unauthorized transactions/trans. issues
Payday loan,Charged fees or interest I didn't expect
Department of Bldg Inspection,Bath window frame rotting & ceiling is leaking. bedroom ceiling  leaks.
Electrical Inspection Division,Electrical work without permit.
Other financial service,Customer service/Customer relations
Other financial service,Customer service/Customer relations
Housing Inspection Services,Routine inspection
Department of Bldg Inspection,Not adequate heat; walls peeling; water leaking through ceiling into light fixture; holes in walls; tub takes an hour to drain.
Prepaid card,Fraud or scam
Electrical Inspection Division,Complaint address is:  1588-1592 fulton street.  coins in fuse box and burned plug box.
Disabled Access Division,Disabled access violation.
Prepaid card,"Managing, opening, or closing account"
Housing Inspection Services,Heat problem.
Mortgage,"Loan modification,collection,foreclosure"
Department of Bldg Inspection,Location is south west corner of broderick and eddy streets.  water leaking out of sidewalk by meter box. ongoing problem.
Department of Bldg Inspection,Damaged lock.
Disabled Access Division,Lunch counter is not accessible to wheelchairs.
Electrical Inspection Division,Electrical work in garage without permit.  see attached nov issued by his.
Building Inspection Division,Date last observed: 20-nov-19;    time last observed: 01/08/2020;    floor: 10;    unit: 1001;    exact location: main bldg;    building type: residence/dwelling   other building; other plumbing; ;    additional information: for 1.5 months i have lived witout cold water;
Student loan,Problems when you are unable to pay
Department of Bldg Inspection,Sump pump was blowing out through the sidewalk - is not hooked through the main. water is flooding into 3249 jackson street.
Code Enforcement Section,"Vacant storefront
2020 registration due 03/05/20"
Code Enforcement Section,Vacant storefront
Debt collection,Communication tactics
Housing Inspection Services,Routine inspection
Bank account or service,Deposits and withdrawals
Bank account or service,"Account opening, closing, or management"
Consumer Loan,Problems when you are unable to pay
Mortgage,"Loan servicing, payments, escrow account"
Code Enforcement Section,Vacant building
Money transfers,Other transaction issues
